id_meta;mes;id_loja;meta_faturamento;meta_pedidos;meta_ticket_medio
69;2;15;664303;1729;384.21
70;2;16;646210;1210;534.06
71;2;17;539223;1358;397.07
72;2;18;810594;1039;780.17
73;2;19;784078;996;787.23
74;2;20;728254;1204;604.86
75;2;21;882632;1087;811.99
76;2;22;648882;1076;603.05
77;2;23;892580;1442;618.99
78;2;24;551219;1669;330.27
79;2;25;672076;1447;464.46
80;2;26;507750;1683;301.69
81;2;27;701047;1614;434.35
82;2;28;875109;959;912.52
83;2;29;729370;1287;566.72
84;2;30;854792;1486;575.23
85;2;31;757445;1682;450.32
86;2;32;819066;1276;641.9
87;2;33;606900;1751;346.6
88;2;34;525377;1726;304.39
89;2;35;697295;1093;637.96
90;2;36;694194;1526;454.91
91;2;37;645957;1307;494.23
92;2;38;599050;1416;423.06
93;2;39;727235;1730;420.37
94;2;40;875042;1414;618.84
95;2;41;579121;1550;373.63
96;2;42;813881;1286;632.88
97;2;43;581226;948;613.11
98;2;44;750443;1203;623.81
99;2;45;522629;1607;325.22
100;2;46;794973;1548;513.55
101;2;47;517692;1171;442.09
102;2;48;751439;1226;612.92
103;2;49;704250;1453;484.69
104;2;50;793909;1609;493.42
105;2;51;869589;1607;541.13
106;2;52;845495;1255;673.7
107;2;53;651730;1667;390.96
108;2;54;824403;1593;517.52
109;3;1;817066;1494;546.9
110;3;2;622950;1746;356.79
111;3;3;658802;1204;547.18
112;3;4;895986;1318;679.81
113;3;5;890079;1192;746.71
114;3;6;879824;1387;634.34
115;3;7;751711;1649;455.86
116;3;8;838648;1547;542.11
117;3;9;505123;1252;403.45
118;3;10;758263;1224;619.5
119;3;11;774067;1589;487.14
120;3;12;813795;1624;501.11
121;3;13;865681;1707;507.14
122;3;14;560380;1408;398.0
123;3;15;535231;1752;305.5
124;3;16;587658;1310;448.59
125;3;17;867981;1061;818.08
126;3;18;685338;1189;576.4
127;3;19;624805;1379;453.09
128;3;20;866683;1789;484.45
129;3;21;711613;1339;531.45
130;3;22;560494;1231;455.32
131;3;23;790321;1203;656.96
132;3;24;660761;1530;431.87
133;3;25;799658;1250;639.73
134;3;26;715331;1269;563.7
135;3;27;601044;1775;338.62
136;3;28;527986;975;541.52
137;3;29;536732;1787;300.35
138;3;30;641117;1193;537.4
139;3;31;549344;1635;335.99
140;3;32;864115;1144;755.35
141;3;33;552360;1654;333.95
142;3;34;723215;1010;716.05
143;3;35;607771;1383;439.46
144;3;36;628698;901;697.78
145;3;37;614051;1486;413.22
146;3;38;515857;1144;450.92
147;3;39;548220;1392;393.84
148;3;40;631061;1691;373.19
149;3;41;523675;1318;397.33
150;3;42;559663;1107;505.57
151;3;43;740907;1612;459.62
152;3;44;800353;1219;656.57
153;3;45;899222;1757;511.79
154;3;46;558295;1641;340.22
155;3;47;690638;1437;480.61
156;3;48;548242;1525;359.5
157;3;49;715748;1114;642.5
158;3;50;749651;1711;438.14
159;3;51;512498;1704;300.76
160;3;52;853537;1417;602.35
161;3;53;588657;1436;409.93
162;3;54;806722;1452;555.59
163;4;1;656555;942;696.98
164;4;2;759806;1619;469.31
165;4;3;899840;999;900.74
166;4;4;889715;1130;787.36
167;4;5;556250;1240;448.59
168;4;6;659856;1511;436.7
169;4;7;577096;1005;574.22
170;4;8;603482;1670;361.37
171;4;9;607946;1363;446.04
172;4;10;715505;1442;496.19
173;4;11;513332;1723;297.93
174;4;12;601895;916;657.09
175;4;13;648585;1064;609.57
176;4;14;708202;1529;463.18
177;4;15;741572;1665;445.39
178;4;16;630504;1744;361.53
179;4;17;811166;955;849.39
180;4;18;855745;1271;673.28
181;4;19;739242;994;743.7
182;4;20;665609;927;718.02
183;4;21;814761;1178;691.65
184;4;22;728130;1168;623.4
185;4;23;835689;1501;556.75
186;4;24;790908;1607;492.16
187;4;25;549106;1341;409.48
188;4;26;798211;1351;590.83
189;4;27;850222;1583;537.1
190;4;28;750646;1333;563.13
191;4;29;800566;1408;568.58
192;4;30;671782;1172;573.19
193;4;31;763409;1484;514.43
194;4;32;649778;1446;449.36
195;4;33;742286;1235;601.04
196;4;34;603798;1127;535.76
197;4;35;605071;1365;443.28
198;4;36;527481;1763;299.2
199;4;37;564350;1570;359.46
200;4;38;527707;1625;324.74
201;4;39;539796;1020;529.21
202;4;40;831972;1271;654.58
203;4;41;774728;1047;739.95
204;4;42;585936;1285;455.98
205;4;43;612704;1038;590.27
206;4;44;504769;1110;454.75
207;4;45;701488;1587;442.02
208;4;46;855422;1314;651.01
209;4;47;592472;1655;357.99
210;4;48;829026;1506;550.48
211;4;49;648037;1393;465.21
212;4;50;745602;1454;512.79
213;4;51;734830;1178;623.79
214;4;52;515838;1041;495.52
215;4;53;894559;1598;559.8
216;4;54;743626;1062;700.21
217;5;1;674418;943;715.18
218;5;2;742380;1623;457.41
219;5;3;869301;955;910.26
220;5;4;564818;1382;408.7
221;5;5;836556;1498;558.45
222;5;6;832538;1426;583.83
223;5;7;836379;1152;726.02
224;5;8;862221;1124;767.1
225;5;9;714996;1718;416.18
226;5;10;520161;1506;345.39
227;5;11;731579;1716;426.33
228;5;12;629644;1783;353.14
229;5;13;705177;1191;592.09
230;5;14;851596;1622;525.03
231;5;15;605328;1502;403.01
232;5;16;866376;1606;539.46
233;5;17;528460;1796;294.24
234;5;18;658165;1116;589.75
235;5;19;546488;1380;396.01
236;5;20;781061;1517;514.87
237;5;21;868226;1645;527.8
238;5;22;833669;1340;622.14
239;5;23;815999;1625;502.15
240;5;24;713806;1262;565.61
241;5;25;684939;1515;452.1
242;5;26;667694;1453;459.53
243;5;27;784506;1744;449.83
244;5;28;895147;1190;752.22
245;5;29;707305;1766;400.51
246;5;30;584881;1681;347.94
247;5;31;512752;1572;326.18
248;5;32;824674;1726;477.79
249;5;33;668162;1492;447.83
250;5;34;794222;1298;611.88
251;5;35;685538;1080;634.76
252;5;36;507602;1117;454.43
253;5;37;627845;945;664.39
254;5;38;519057;1637;317.08
255;5;39;556200;1604;346.76
256;5;40;755103;934;808.46
257;5;41;579458;1754;330.36
258;5;42;856745;1375;623.09
259;5;43;587218;1066;550.86
260;5;44;888030;1277;695.4
261;5;45;717644;1478;485.55
262;5;46;560536;1074;521.91
263;5;47;854388;1639;521.29
264;5;48;554780;1188;466.99
265;5;49;630057;1041;605.24
266;5;50;855979;1064;804.49
267;5;51;885670;1073;825.41
268;5;52;668476;1018;656.66
269;5;53;757126;1485;509.85
270;5;54;829075;1234;671.86
271;6;1;617324;1275;484.18
272;6;2;521836;1373;380.07
273;6;3;871837;1445;603.35
274;6;4;774975;1430;541.94
275;6;5;530050;1113;476.24
276;6;6;500126;1376;363.46
277;6;7;606707;1121;541.22
278;6;8;651859;956;681.86
279;6;9;593128;958;619.13
280;6;10;688335;1302;528.68
281;6;11;721950;1058;682.37
282;6;12;530135;1464;362.11
283;6;13;806775;939;859.19
284;6;14;726691;1346;539.89
285;6;15;757228;1057;716.39
286;6;16;729835;1707;427.55
287;6;17;886118;1617;548.0
288;6;18;760192;1103;689.2
289;6;19;624239;1052;593.38
290;6;20;712864;1210;589.14
291;6;21;646628;1022;632.71
292;6;22;878513;1208;727.25
293;6;23;693708;1100;630.64
294;6;24;831789;1234;674.06
295;6;25;580534;1746;332.49
296;6;26;887226;1150;771.5
297;6;27;785116;1155;679.75
298;6;28;659871;1437;459.2
299;6;29;601308;1115;539.29
300;6;30;887134;1017;872.3
301;6;31;870314;940;925.87
302;6;32;836355;1191;702.23
303;6;33;765033;1386;551.97
304;6;34;605552;1099;551.0
305;6;35;517167;1456;355.2
306;6;36;877289;1793;489.29
307;6;37;862067;1341;642.85
308;6;38;517785;1375;376.57
309;6;39;692918;1000;692.92
310;6;40;697812;1489;468.64
311;6;41;602309;1598;376.91
312;6;42;812259;972;835.66
313;6;43;855035;1444;592.13
314;6;44;881923;1633;540.06
315;6;45;616942;1190;518.44
316;6;46;526614;1022;515.28
317;6;47;624956;1235;506.04
318;6;48;579801;1522;380.95
319;6;49;711005;1577;450.86
320;6;50;658016;1285;512.07
321;6;51;740733;1188;623.51
322;6;52;599036;1445;414.56
323;6;53;529082;1022;517.69
324;6;54;595284;1254;474.71
325;7;1;596475;974;612.4
326;7;2;779440;1397;557.94
327;7;3;524513;1754;299.04
328;7;4;603547;1042;579.22
329;7;5;684946;913;750.21
330;7;6;554633;1711;324.16
331;7;7;830491;1109;748.86
332;7;8;540874;1346;401.84
333;7;9;761025;1422;535.18
334;7;10;759950;1618;469.68
335;7;11;825095;1160;711.29
336;7;12;665315;1744;381.49
337;7;13;697778;1502;464.57
338;7;14;669344;1675;399.61
339;7;15;530194;1718;308.61
340;7;16;509775;1569;324.9
341;7;17;615314;1641;374.96
342;7;18;637469;933;683.25
343;7;19;551767;1138;484.86
344;7;20;867206;1375;630.7
345;7;21;877110;1226;715.42
346;7;22;563175;1544;364.75
347;7;23;577919;1319;438.15
348;7;24;636705;1067;596.72
349;7;25;648532;1608;403.32
350;7;26;596044;1333;447.14
351;7;27;647828;1593;406.67
352;7;28;592399;1358;436.23
353;7;29;821197;1249;657.48
354;7;30;583799;1046;558.13
355;7;31;650234;1608;404.37
356;7;32;548191;920;595.86
357;7;33;673972;1284;524.9
358;7;34;534104;1425;374.81
359;7;35;820424;1122;731.22
360;7;36;528806;1282;412.49
361;7;37;873109;1693;515.72
362;7;38;618813;994;622.55
363;7;39;682675;1375;496.49
364;7;40;861344;1252;687.97
365;7;41;522309;1718;304.02
366;7;42;835121;1716;486.67
367;7;43;711984;1273;559.3
368;7;44;841322;1738;484.07
369;7;45;672607;1567;429.23
370;7;46;853336;1478;577.36
371;7;47;657919;1419;463.65
372;7;48;873223;958;911.51
373;7;49;529320;1217;434.94
374;7;50;516814;1618;319.42
375;7;51;844337;1098;768.98
376;7;52;755736;1235;611.93
377;7;53;574478;1543;372.31
378;7;54;614971;1392;441.79
379;8;1;749702;963;778.51
380;8;2;733065;1663;440.81
381;8;3;887479;944;940.13
382;8;4;699738;1229;569.36
383;8;5;711046;956;743.77
384;8;6;755951;1417;533.49
385;8;7;737723;1368;539.27
386;8;8;829416;1411;587.82
387;8;9;782823;1299;602.64
388;8;10;625581;1529;409.14
389;8;11;765633;1251;612.02
390;8;12;674311;1154;584.32
391;8;13;752201;1347;558.43
392;8;14;808763;1033;782.93
393;8;15;698656;1010;691.74
394;8;16;745879;1772;420.92
395;8;17;546364;1349;405.01
396;8;18;563805;1349;417.94
397;8;19;758325;1328;571.03
398;8;20;815987;1653;493.64
399;8;21;600340;1407;426.68
400;8;22;830609;1014;819.14
401;8;23;618971;1481;417.94
402;8;24;559182;1363;410.26
403;8;25;837697;1374;609.68
404;8;26;882226;1049;841.02
405;8;27;507148;1177;430.88
406;8;28;899641;1265;711.18
407;8;29;707260;1760;401.85
408;8;30;807487;1320;611.73
409;8;31;527080;1590;331.5
410;8;32;895805;1711;523.56
411;8;33;579053;955;606.34
412;8;34;839999;1791;469.01
413;8;35;800527;919;871.08
414;8;36;849396;1073;791.61
415;8;37;666943;1585;420.78
416;8;38;820873;1011;811.94
417;8;39;882336;1633;540.32
418;8;40;829701;1659;500.12
419;8;41;800706;944;848.21
420;8;42;612858;1316;465.7
421;8;43;817236;1211;674.84
422;8;44;569230;1187;479.55
423;8;45;502741;985;510.4
424;8;46;514517;1641;313.54
425;8;47;840062;1091;769.99
426;8;48;612648;1627;376.55
427;8;49;584407;1744;335.1
428;8;50;768317;1107;694.05
429;8;51;761405;1152;660.94
430;8;52;874387;1406;621.9
431;8;53;528875;1061;498.47
432;8;54;730318;1384;527.69
433;9;1;526708;1230;428.22
434;9;2;890531;1661;536.14
435;9;3;554574;1684;329.32
436;9;4;727874;1214;599.57
437;9;5;725378;970;747.81
438;9;6;602200;1214;496.05
439;9;7;733859;1393;526.82
440;9;8;528648;1327;398.38
441;9;9;823684;1426;577.62
442;9;10;571588;1649;346.63
443;9;11;572861;1021;561.08
444;9;12;511995;1579;324.25
445;9;13;885439;1678;527.68
446;9;14;532884;1281;415.99
447;9;15;889294;1772;501.86
448;9;16;811669;1256;646.23
449;9;17;617340;1547;399.06
450;9;18;575251;1329;432.84
451;9;19;899693;1563;575.62
452;9;20;539633;1434;376.31
453;9;21;819901;1171;700.17
454;9;22;522938;956;547.01
455;9;23;668084;1490;448.38
456;9;24;646093;1461;442.23
457;9;25;814088;1600;508.81
458;9;26;768623;1362;564.33
459;9;27;571319;1103;517.97
460;9;28;571923;1297;440.96
461;9;29;605024;1438;420.74
462;9;30;791548;1162;681.19
463;9;31;874819;1499;583.6
464;9;32;503969;1634;308.43
465;9;33;659682;1223;539.4
466;9;34;776545;1066;728.47
467;9;35;757160;1131;669.46
468;9;36;553401;1197;462.32
469;9;37;810030;1513;535.38
470;9;38;762175;1725;441.84
471;9;39;509283;962;529.4
472;9;40;899988;1336;673.64
473;9;41;528915;1752;301.89
474;9;42;542499;1025;529.27
475;9;43;789596;1740;453.79
476;9;44;760131;1288;590.16
477;9;45;786355;1512;520.08
478;9;46;620407;1420;436.91
479;9;47;527509;945;558.21
480;9;48;524389;1751;299.48
481;9;49;743400;1487;499.93
482;9;50;731510;1152;634.99
483;9;51;757363;1766;428.86
484;9;52;847601;1234;686.87
485;9;53;516419;1250;413.14
486;9;54;803672;1131;710.59
487;10;1;752808;1345;559.71
488;10;2;614526;1623;378.64
489;10;3;673238;1286;523.51
490;10;4;645080;1217;530.06
491;10;5;718483;1044;688.2
492;10;6;833929;1275;654.06
493;10;7;650807;1700;382.83
494;10;8;599095;1459;410.62
495;10;9;746915;1743;428.52
496;10;10;772674;1154;669.56
497;10;11;515798;1232;418.67
498;10;12;637170;1751;363.89
499;10;13;523022;1746;299.55
500;10;14;610274;1361;448.4
501;10;15;545671;1279;426.64
502;10;16;534798;1552;344.59
503;10;17;828504;1359;609.64
504;10;18;812413;1421;571.72
505;10;19;853415;1419;601.42
506;10;20;500094;1711;292.28
507;10;21;619508;1254;494.03
508;10;22;822477;1410;583.32
509;10;23;586369;1480;396.2
510;10;24;780881;1653;472.4
511;10;25;651846;1195;545.48
512;10;26;527000;1334;395.05
513;10;27;762913;1174;649.84
514;10;28;645754;1509;427.94
515;10;29;630275;1437;438.6
516;10;30;574702;1512;380.09
517;10;31;633034;1132;559.22
518;10;32;739775;1299;569.5
519;10;33;503774;1013;497.31
520;10;34;790318;1734;455.78
521;10;35;785193;1272;617.29
522;10;36;578051;1774;325.85
523;10;37;612683;1504;407.37
524;10;38;885538;1336;662.83
525;10;39;737458;1196;616.6
526;10;40;852158;1429;596.33
527;10;41;565220;1431;394.98
528;10;42;888400;1202;739.1
529;10;43;865131;1336;647.55
530;10;44;588376;1391;422.99
531;10;45;754912;1422;530.88
532;10;46;808240;1142;707.74
533;10;47;646607;1321;489.48
534;10;48;567058;1320;429.59
535;10;49;642470;1787;359.52
536;10;50;516778;1323;390.61
537;10;51;786009;966;813.67
538;10;52;712670;1568;454.51
539;10;53;643828;908;709.06
540;10;54;603295;1262;478.05
541;11;1;846689;1116;758.68
542;11;2;853687;1397;611.09
543;11;3;885962;1632;542.87
544;11;4;638729;1294;493.61
545;11;5;795722;1686;471.96
546;11;6;626558;1042;601.3
547;11;7;534781;1481;361.09
548;11;8;618797;956;647.28
549;11;9;571435;901;634.22
550;11;10;521884;1176;443.78
551;11;11;617173;1340;460.58
552;11;12;727972;1723;422.5
553;11;13;557362;1710;325.94
554;11;14;568512;941;604.16
555;11;15;613059;949;646.01
556;11;16;627506;1336;469.69
557;11;17;603187;1522;396.31
558;11;18;538392;1031;522.2
559;11;19;700124;1742;401.91
560;11;20;533181;1116;477.76
561;11;21;586861;1041;563.75
562;11;22;739562;1279;578.23
563;11;23;865952;1536;563.77
564;11;24;666386;1498;444.85
565;11;25;515005;1369;376.19
566;11;26;660233;1039;635.45
567;11;27;786794;1229;640.19
568;11;28;826222;1228;672.82
569;11;29;858845;1437;597.67
570;11;30;724078;1601;452.27
571;11;31;708920;1766;401.43
572;11;32;607441;902;673.44
573;11;33;605050;1761;343.58
574;11;34;730436;1230;593.85
575;11;35;814537;1338;608.77
576;11;36;689036;1372;502.21
577;11;37;820648;1643;499.48
578;11;38;683760;1469;465.46
579;11;39;576490;970;594.32
580;11;40;571636;1099;520.14
581;11;41;760962;1212;627.86
582;11;42;757155;1603;472.34
583;11;43;661571;911;726.2
584;11;44;545987;1562;349.54
585;11;45;691454;1774;389.77
586;11;46;780227;1225;636.92
587;11;47;871148;1665;523.21
588;11;48;850337;1284;662.26
589;11;49;604701;1028;588.23
590;11;50;677056;1023;661.83
591;11;51;846966;1598;530.02
592;11;52;540396;968;558.26
593;11;53;593903;1700;349.35
594;11;54;577165;1321;436.92
595;12;1;525712;1320;398.27
596;12;2;533300;1522;350.39
597;12;3;798899;1755;455.21
598;12;4;801648;1438;557.47
599;12;5;675700;1056;639.87
600;12;6;618786;1733;357.06
601;12;7;694913;902;770.41
602;12;8;518592;1570;330.31
603;12;9;681234;1515;449.66
604;12;10;718287;1707;420.79
605;12;11;734887;1210;607.34
606;12;12;771439;1328;580.9
607;12;13;871832;919;948.67
608;12;14;815643;942;865.86
609;12;15;691648;1727;400.49
610;12;16;845640;1471;574.87
611;12;17;514708;1166;441.43
612;12;18;652616;1583;412.27
613;12;19;552647;1029;537.07
614;12;20;532991;1429;372.98
615;12;21;622004;1270;489.77
616;12;22;773399;1577;490.42
617;12;23;636579;1574;404.43
618;12;24;575958;1540;374.0
619;12;25;700042;1269;551.65
620;12;26;883947;1635;540.64
621;12;27;744035;1600;465.02
622;12;28;589682;1115;528.86
623;12;29;578460;1687;342.89
624;12;30;699841;1539;454.74
625;12;31;779747;1597;488.26
626;12;32;702393;1068;657.67
627;12;33;776711;1561;497.57
628;12;34;703085;937;750.36
629;12;35;606880;1169;519.14
630;12;36;865835;935;926.03
631;12;37;574816;1271;452.25
632;12;38;855147;1337;639.6
633;12;39;840332;1360;617.89
634;12;40;891097;1509;590.52
635;12;41;775630;953;813.88
636;12;42;563923;1315;428.84
637;12;43;652160;1108;588.59
638;12;44;753524;1686;446.93
639;12;45;674548;1493;451.81
640;12;46;709771;1474;481.53
641;12;47;871116;1373;634.46
642;12;48;631430;1042;605.98
643;12;49;832964;955;872.21
644;12;50;766968;1624;472.27
645;12;51;584987;1035;565.2
646;12;52;879074;1609;546.35
647;12;53;616664;1032;597.54
648;12;54;528893;949;557.32
